,neg_elbo,entropy,log_prior,recon
0,5472118.5,414053.38,-5058064.5,-5287653.0
1,4926770.0,409435.56,-4517334.5,-4740270.5
2,4630097.0,401160.5,-4228936.5,-4439665.0
3,4447638.0,396563.38,-4051074.5,-4254850.5
4,4307835.0,394513.94,-3913321.5,-4113737.0
5,4189961.8,394259.94,-3795702.2,-3994633.2
6,4104093.0,396068.56,-3708024.5,-3908238.2
7,4025731.8,399246.4,-3626485.5,-3829339.8
8,3955520.2,402225.16,-3553295.5,-3758655.2
9,3899071.8,405588.84,-3493482.5,-3701764.2
10,3838247.8,409508.62,-3428739.8,-3640713.8
11,3786188.0,413212.66,-3372975.5,-3588543.8
12,3734578.5,417240.9,-3317337.8,-3536560.0
13,3684125.2,421443.34,-3262681.5,-3485872.8
14,3620176.2,425993.3,-3194183.2,-3421748.0
15,3578356.0,432494.0,-3145861.5,-3379510.5
16,3553890.8,440613.66,-3113277.0,-3354741.2
17,3538703.5,446785.3,-3091918.5,-3339479.8
18,3525043.8,452954.12,-3072089.2,-3325446.2
19,3507598.2,457538.62,-3050059.5,-3307817.0
20,3491837.8,462595.2,-3029242.5,-3291899.8
21,3482722.5,467027.66,-3015695.2,-3282543.5
22,3466061.8,472683.3,-2993379.0,-3265556.8
23,3451358.5,478015.53,-2973343.0,-3250515.5
24,3442729.5,483539.0,-2959190.5,-3241460.0
25,3426981.0,489343.88,-2937637.0,-3225291.8
26,3416821.2,494882.97,-2921938.5,-3214817.0
27,3409653.0,500448.06,-2909204.5,-3207342.8
28,3399697.0,505742.1,-2893955.0,-3197072.8
29,3397103.5,510220.72,-2886882.5,-3194329.5
30,3387611.8,514757.06,-2872854.8,-3184666.2
31,3384868.2,518998.8,-2865869.0,-3181787.2
32,3374328.5,523932.53,-2850396.0,-3170929.8
33,3372064.8,528058.7,-2844006.8,-3168336.2
34,3366671.8,531252.06,-2835419.5,-3162843.2
35,3363302.5,535559.75,-2827742.8,-3159232.2
36,3356063.5,538669.7,-2817394.2,-3151911.2
37,3353566.2,541445.6,-2812121.0,-3149195.5
38,3351349.5,543971.4,-2807378.5,-3146790.5
39,3348563.0,546522.6,-2802040.0,-3143876.2
40,3342168.5,549102.25,-2793066.2,-3137337.0
41,3343084.0,551383.06,-2791701.0,-3138153.5
42,3340107.5,553500.94,-2786606.5,-3134933.5
43,3336475.2,555729.25,-2780745.5,-3131260.5
44,3337914.5,557008.9,-2780905.2,-3132522.5
45,3332588.2,558893.7,-2773694.5,-3127031.8
46,3331774.8,561719.06,-2770055.5,-3125952.5
47,3330626.8,563523.25,-2767103.5,-3124613.2
48,3324376.0,563934.0,-2760441.8,-3118301.0
49,3323709.8,565350.4,-2758359.5,-3117533.2
50,3322998.5,567143.1,-2755855.0,-3116531.8
51,3319611.0,568748.56,-2750862.5,-3113137.0
52,3320854.2,569906.7,-2750947.8,-3114142.2
53,3320575.2,571567.3,-2749007.5,-3113568.5
54,3320442.2,572478.4,-2747963.8,-3113487.5
55,3316305.2,573008.1,-2743297.0,-3109274.5
56,3314015.5,574235.0,-2739780.5,-3106780.2
57,3315555.5,574176.75,-2741378.8,-3108276.5
58,3309977.2,576070.7,-2733906.2,-3102570.5
59,3312187.0,577479.2,-2734707.5,-3104566.2
60,3312725.2,577375.1,-2735350.8,-3104991.0
61,3311001.5,578614.1,-2732387.2,-3103095.2
62,3309921.8,579296.75,-2730625.0,-3101979.2
63,3310544.5,579648.8,-2730895.8,-3102541.2
64,3307746.5,580819.06,-2726927.2,-3099504.0
65,3305072.8,581434.44,-2723638.5,-3096845.2
66,3308796.5,582194.9,-2726602.2,-3100427.0
67,3304667.5,583035.44,-2721631.8,-3096230.8
68,3304427.2,583384.2,-2721043.2,-3095856.5
69,3304355.0,583756.3,-2720598.5,-3095645.2
70,3305930.8,583964.25,-2721966.8,-3097166.8
71,3304387.2,585285.94,-2719100.8,-3095385.0
72,3303088.0,585728.2,-2717360.0,-3093927.5
73,3303428.8,586214.9,-2717213.8,-3094195.2
74,3301360.5,587330.3,-2714030.2,-3091807.5
75,3300317.8,587301.6,-2713016.0,-3090783.2
76,3297999.8,586822.4,-2711177.5,-3088521.8
77,3300029.8,588214.06,-2711816.0,-3090328.5
78,3300096.5,588775.94,-2711320.5,-3090403.0
79,3296099.5,589429.8,-2706669.8,-3086155.5
80,3296223.5,589729.25,-2706494.2,-3086275.8
81,3298488.8,590156.2,-2708332.8,-3088372.2
82,3298547.0,589823.4,-2708723.8,-3088379.5
83,3296115.0,589741.9,-2706373.0,-3085970.2
84,3295147.8,590391.56,-2704756.2,-3084805.5
85,3295088.0,590688.3,-2704400.2,-3084699.8
86,3295824.0,591241.8,-2704582.5,-3085292.8
87,3295345.8,591722.44,-2703623.2,-3084663.5
88,3291632.0,592714.2,-2698918.2,-3080868.2
89,3291816.2,592863.25,-2698953.0,-3080829.5
90,3292956.8,592646.94,-2700309.8,-3082049.2
91,3293056.0,593514.8,-2699541.2,-3082026.8
92,3293246.2,593584.94,-2699661.0,-3082080.2
93,3291252.2,594036.8,-2697215.0,-3080059.8
94,3290641.5,594476.44,-2696164.8,-3079275.8
95,3289314.8,594341.8,-2694972.5,-3077922.2
96,3293572.2,594634.0,-2698938.5,-3081949.8
97,3293165.0,595466.6,-2697698.5,-3081425.2
98,3291990.5,595000.3,-2696989.8,-3080386.8
99,3290792.5,595770.3,-2695022.5,-3078950.2
100,3293739.0,595426.56,-2698312.5,-3081896.2
101,3287028.8,595109.2,-2691919.5,-3075139.8
102,3289578.2,595124.44,-2694453.5,-3077609.2
103,3288519.2,596166.7,-2692352.5,-3076243.5
104,3289535.8,597310.3,-2692225.2,-3077082.8
105,3291946.5,597574.2,-2694372.0,-3079460.8
106,3290441.2,597513.44,-2692927.5,-3077993.2
107,3290381.5,597422.56,-2692958.8,-3077961.0
108,3289698.2,597606.0,-2692092.2,-3077118.2
109,3286186.2,597346.3,-2688840.0,-3073600.0
110,3284401.2,597286.8,-2687114.2,-3071720.8
111,3288505.8,597880.8,-2690625.2,-3075639.5
112,3289339.5,597503.44,-2691835.5,-3076489.0
113,3287010.8,598792.6,-2688217.8,-3073943.0
114,3286808.0,599399.3,-2687408.8,-3073604.8
115,3283907.2,598822.6,-2685084.5,-3070632.0
116,3288699.8,598501.8,-2690197.5,-3075432.0
117,3285888.8,599251.1,-2686637.8,-3072544.0
118,3286531.0,599372.44,-2687158.5,-3073165.8
119,3288344.5,599556.25,-2688788.8,-3074938.5
120,3285581.5,599734.1,-2685847.2,-3072090.5
121,3284452.8,600399.6,-2684053.2,-3070811.2
122,3283811.8,600327.3,-2683485.0,-3070181.0
123,3283260.2,599570.0,-2683690.8,-3069403.8
124,3288471.5,600629.2,-2687842.2,-3074513.2
125,3282656.2,600139.44,-2682516.8,-3068765.8
126,3283122.2,600741.94,-2682380.2,-3069015.8
127,3282463.5,601021.44,-2681441.8,-3068364.8
128,3285559.8,600911.56,-2684648.2,-3071326.8
129,3284308.2,601023.56,-2683284.8,-3070157.5
130,3280100.0,601002.2,-2679097.5,-3065807.5
131,3284170.2,601249.0,-2682921.0,-3069876.2
132,3283753.5,601456.44,-2682296.8,-3069307.2
