,Unnamed: 0,productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3,tokens,keyatm_label,Accuracy
0,13198,B000066CMV,Avent Isis Manual Breast Pump,AMUTE479JMK7X,0/0,4.0,1206057600,"If you don't put this thing together right, it won't work. Read the instructions very carefully. Once you figure out how all the pieces fit together, it's super easy and quick to assemble. It's manual, so you have to have patience for it to create some pressure. This thing saved my life. At first I wasn't getting pressure, and I was just using it to get my nipple to poke out so that my baby could latch on easily. Then, pressure started to build, and milk was flowing out like a fountain. Once I got the hang of it, it was great. It doesn't hurt, it's small and easy to carry around. The only thing I hated were the 4 oz bottles it came with. They leaked and came with too many pieces (bottle, neck and top). But I don't see those in the picture here, so maybe Avent did away with that. I discovered that regular avent bottles can attach to the pump as well, so that was good.",baby products,feeding,breastfeeding,170,baby products,True
1,17003,B000I5KRU0,Doodle Dinosaur - Draw-Ruptor,A2J20NOAK9LBG3,0/0,5.0,1232323200,My 5 year old and his entire pre-school class loves toy. Its not often mom and dad give him permission to color his stuffed animals with markers. We machine washed the toy as directed in the instruction and it looks like new. Ready for action.,toys games,arts crafts,drawing painting supplies,45,toys games,True
2,17895,B000E7WI5Y,L'eau d'Issey by Issey Miyake for Women Body Lotions,AIV0OKU39R64K,1/1,5.0,1238198400,"I've been wearing L'eau D'issey perfume for 10 yrs now. I love it so much. It's so romantic, in my opinion, but the scent isn't knock-ya-on-your-buttinsky heavy - it's light and tantalizing. I also get compliments from both women and men. The women want it, and the men think it is sexy! The L'eau D'issey cream is so wonderful. The scent stays and is perfect for layering, and the moisturization stays too! I love it. I bought two jars of the cream, even, so I won't have to worry about running out of it anytime soon. L'eau D'issey is my signature scent.",beauty,fragrance,women s,102,beauty,True
3,25215,B00078ZHPS,Basic Comfort Ultra Plush Changing Pad Cover,A3TS00P48CHSCB,0/0,5.0,1285891200,"I bought two of these (Ecru and Pink) for my changing pad and they exceed expectations! They are VERY soft, but durable enough to stand up to many washings (without fading). They fit the Summer Infant changing pad SO WELL and due to it's design, it would be hard to imagine these covers not fitting any changing pad perfectly. The price is great and you feel like you got a steal once you realize how great the covers really are. Would definitely recommend.",baby products,diapering,changing table pads covers,83,baby products,True
4,21246,B0007UYVEE,Tendre Poison by Christian Dior for Women - 1 oz EDT Spray,A2MPAYT39QSQI,3/3,1.0,1262390400,"I ordered this, relying on the caption which says that it's eau de toilette spray, but it's not scent, it's deodorant. This was some months ago, and the company still has this ad for this product up, but have not indicated that it's not scent, but a deodorant spray. To their credit, they emailed me and told me of the discrepancy, and I chose to accept the product, anyway. But they should have removed or updated it by now.",beauty,fragrance,women s,79,beauty,True
5,5593,B00009P7I5,Safety 1st Safe-Glow Nursery Monitor 2 Receiver Set,A123DGJL8G21HX,5/5,1.0,1135987200,"I got this monitor as a christmas gift as our 3 month old is now ready to move from the bassinet in our room to her own crib. The room is only right down the hall, but its hard to hear her crying over the fan my husband and I need to sleep. We set the monitor up in her room and made sure it was the only thing plugged into the outlet. We also removed any phones from her room or anything else we thought might interfere. Nothing worked...the receiver in our room is ALL static and very nerving. We tried the different channel and changed hers as well, but no luck. We turned off our computers and cell phones, but nothing..just STATIC. I dont know if there is just too much interference as we live in downtown Chicago surrounded by many apartments and condo buildings, but regardless...this monitor just didnt work for us. I think it just depends on where you live. Maybe I need a 900MHz one, we'll see.",baby products,safety,monitors,172,baby products,True
6,29057,B000NT2ESO,TheraBreath PerioTherapy Oral Rinse-16.9 oz,A1Q563T76HQCVP,4/4,4.0,1303084800,"I am very happy with this product. Though I was mildly surprised by the lack of fizz and scent. But I realize that this makes me mouth so much cleaner than any of those mouthwashes ever did. I don't really have a breath problem, but like most people, I woke up with morning breath. Not with this product. When I wake up, I taste.... absolutely nothing. I love it. It came with a free sample of the toothpaste and I'm going to order a full size. My teeth feel so clean, like I just came from the dentist. Very happy!",health personal care,personal care,oral hygiene,100,health personal care,True
7,26264,B000N758AM,Organix Teatree Mint Hydrating Treatment 6 oz.,AEHC2MJ3Y8F5V,2/2,5.0,1291507200,"I Really Love This Product!!!!!, I wear locs and the Organix Hydrating Treatment softening them instantly & locks in moisture without the heavy build up. I've tried other products but this is the best! It's becoming hard to find locally, so I hope they are not planning to discontinue it!!!",beauty,hair care,conditioners,50,beauty,True
8,32014,B0006O10P4,Indigo Wild,A3F60CCEQRNJFL,0/0,3.0,1315699200,"If you want to make sure the scent is powerful, then this is it! However, the bar dissolves very quickly....of course, it will depend on how you use it, but still...it is the one with the strongest scent of cinnamon I have found as of yet.",beauty,bath body,cleansers,46,beauty,True
9,7678,B0007WWZK4,Fisher-Price Roll-a-Rounds&#8482; Drop & Roar&#8482; Dinosaur,A1D9663MP3J4WF,0/0,3.0,1167350400,"The dinosaur was fun for my little guy, but the balls come flying out and go under coffee tables and furniture, so we are forever fetching them out of uncomfortable and dirty places. Works best in an enclosed environment.",toys games,baby toddler toys,music sound,39,toys games,True
