,0
0,21.062017
1,17.443224
2,15.582873
3,16.243876
4,16.198175
5,13.317156
6,15.758187
7,14.325581
8,16.093697
9,14.95751
10,21.814747
11,18.449903
12,18.748281
13,17.510712
14,16.479792
15,17.199396
16,16.224625
17,16.715612
18,17.048222
19,16.220732
20,25.9021
21,17.992765
22,19.567873
23,16.871708
24,16.199442
25,15.431089
26,15.068194
27,15.191191
28,14.913469
29,14.05117
30,18.596258
31,17.723032
32,16.455685
33,15.5216465
34,15.037107
35,15.301238
36,14.859183
37,16.784191
38,13.960801
39,13.638529
40,14.094165
41,13.439876
42,14.860948
43,14.44349
44,13.599516
45,14.316086
46,14.968243
47,13.562615
48,14.806977
49,15.621231
50,16.469442
51,16.485126
52,16.000654
53,14.396785
54,14.2749195
55,15.473104
56,14.481102
57,14.681292
58,15.005558
59,15.514973
