,0
0,1.7045939
1,2.5360003
2,3.1954422
3,3.2974672
4,3.3934338
5,3.5524824
6,2.288782
7,5.4286356
8,2.3335993
9,5.3591557
10,1.1151233
11,2.0302744
12,1.7323439
13,2.2374082
14,1.2832398
15,2.57546
16,1.6216967
17,2.0361776
18,2.8590236
19,2.3875415
20,0.6867111
21,1.861104
22,1.16422
23,2.8399942
24,3.9585247
25,2.7426267
26,1.7074612
27,3.044118
28,2.1131837
29,3.1695323
30,1.4483762
31,2.5655913
32,3.7435377
33,4.71035
34,4.6896167
35,4.212245
36,2.988845
37,3.8480642
38,4.7075834
39,2.668841
40,1.1725917
41,1.2206061
42,4.074307
43,4.2545447
44,1.5939757
45,2.0808973
46,4.949308
47,2.5643966
48,1.9093722
49,1.9478471
50,2.850111
51,2.804255
52,3.593116
53,5.8580422
54,7.4824567
55,5.2399235
56,5.948874
57,4.6038275
58,5.2945056
59,7.873154
