,productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3,tokens
13845,B00008MIHM,Bulls-Eye Ball,A163DF7ODTPII1,0/0,5.0,1210896000,"This is a great game, but just to let you know, it's only $[...] at Toys R Us in the store (not online). It's a good way to kill some time. Fun for kids and adults.",toys games,games,board games,36
14193,B00092M2ZU,"Ceramic Tools CT2555 1"" Professional Ceramic Flat Iron",A1TASEKR3IXIBC,9/9,5.0,1213488000,"I have had this straightener for 2 years now. Before this I had the same product for another two years (which my mom now has and uses daily). It is a very dependable and sturdy straightener. I have long curly hair and my hair always comes out straight and silky after use. I have had previous straighters that costed more than $200 and they didn't do any justice. One of the best reasons I think this one lasts the longest is because the wire that comes out swivels. Many straighteners do not last long bc the wire gets bent and comes loose when you bend it. Since this one swivels the wire never has to bend. If you are looking for a cheaper great product, this is it!",beauty,hair care,styling tools,128
35237,B000NW884A,Zoya Nail Polish,A2SH7OWE8QJYNC,3/3,4.0,1326585600,"Found this at Ulta after considering an online purchase of Zoya (after reading reviews). Gemma is an army green color, and in the bottle, you can see the contrast dichroic-type effect of pale purple shimmer. However, once it's on the nails, that dichro effect is lost. It simply looks like a shiny army green. I think that the difference between regular ambient light in a room (or outdoors) and the pale purple shimmer is simply not great enough to show a difference. If you're looking for army green, go for it. If you're looking for dichroic effect, keep looking.On the plus side, I did my nails last night and have spent about 10 hours typing since then, and they show no wear at all. Right now I'm using OPI's Natural Nail Base Coat and Top Coat, but I have the Zoya products on order (Ulta didn't stock those). I'm hoping the all-Zoya combo will give me a super long wear. I'll come back and report in when this one starts to show wear, and also after my first all-Zoya manicure begins to show wear. So far, I recommend!Edit. Zoya took a really long time to ship out my stuff. My Gemma manicure lasted 10 days with only minimal edge wear (which only I could see; people talking to me couldn't tell). I was bored with the color, so I went to Ulta and bought ""Sarah"" (a metallic red) and did that with Orly's ""Top 2 Bottom"" base/top coat. So far this has lasted 5 days and is not showing wear.Of course the Zoya stuff showed up the next day. So I stripped the ""Sarah"" manicure off my right hand and used the Zoya Anchor base coat, 2 coats of Sarah, and the Armor top coat. This has lasted 4 days so far (no wear). I'm really impressed with the longevity of this nail polish. I used to be an all-OPI girl, but when their stuff started chipping within a day I decided it was time to look elsewhere. Zoya is now my top stop for new nail polishes. Just wish they'd either ship faster, or that Ulta would stock 100% of their products!",beauty,makeup,nails,363
29771,B000EQATOC,Webkinz Cocker Spaniel,ARYZFI4DN3EHZ,0/0,4.0,1306281600,"My daughter wanted this particular Webkinz because she had heard it would be retired soon. Whether or not that's true, it's a nice addition to her collection and she always enjoys the process of ""adopting"" them and playing the games on the Webkinz site.",toys games,electronics for kids,electronic pets,44
26457,B000P545HE,"Ricola Herb Throat Drops, Honey-Herb, 24 Drops (Pack of 12)",A3VEPUOEY6T7YV,0/0,5.0,1292284800,"Ricola's Honey Herb cough drops are the only product I turn to, now, when I get a sore throat. I've tried other products--such as halls--and while they helped my sore throat, I just couldn't bear the taste. This product, on the other hand, is truly delicious without being overly sweet. The fresh taste of the mint is mellowed nicely by the honey.So, if you are tired of other products' tastes but still want all of the throat soothing power, I recommend Ricola's Honey Herb cough drops.",health personal care,health care,cough cold,86
37022,B000JVTP38,"Nuby 3 Pack Bottles, 10 Ounce, Colors May Vary",A3P5T6X3X1HCPI,0/0,1.0,1332806400,"I really liked the quality of the bottle. It was sturdy, seemed of good quality, and nice looking. Unfortunately, my 3 month old was not able to get any milk out of the nipple. I ended up having to switch bottles in the middle of a feeding because he was screaming so much from not being able to get his food. Every baby is different and maybe in a few months I can try again but at this point, it is useless and I cannot recommend it.",baby products,feeding,bottle feeding,87
13255,B000FMZO8G,Calbee Snack Salad Snapea Crisps,A1JELQ2BC10FID,0/0,5.0,1206489600,"I was already addicted to this snack! Thankfully, Amazon suscriber program makes the cost a lot more reasonable. These are great and a lot healthier than ""chips""!!You have to like peas or dried peas as this is the flavor! It is a great, light snack! (I bet this is great on salads too! But, I usually just grab the bag and ""chow down""!)",grocery gourmet food,snack food,unknown,63
38784,B0002Z81O0,Peter Thomas Roth Max Complexion Correction Pads,A3QP819V79B7RU,2/2,3.0,1339891200,"Very good product, for face and other problem areas.... my face rarely gets pimples but other body parts do (very embarrassing!) I have tried everything - for over 20 years - and this is the first product to eradicate body-pimples completely.However - -be careful who you buy them from - I have gotten products that seemed like they had been replaced with stridex pads. The PTR pads should NOT smell like alcohol - the scent is very nice. I trust Payless Beauty and Flex Commerce - their products always arrive sealed and smelling the way they should!",beauty,skin care,face,97
29028,B000JJMBMM,Eddie Bauer Adjustable High Back Booster Car Seat,A28QKRSTWMMHY6,0/0,5.0,1302912000,"This car seat is great. I had the whole Montecito set since my son was born, so when he turned 1 I had to get this. I still love it to this day. It was sooooooo easy to install. Anyone who has problems with it moving (as all car seats do) there are 2 latches to secure it into your car (which i""m sure is in the instruction manual). I only use the top latch if I have that problem. The cup holders are sooo convenient. If you feel that the straps are getting too tight or the bottom buckle is too short even after adjusting the straps, you have to move them to a higher position. There are 3 positions for the straps and 3 for the buckle. My child is 3 and is tall and I am just about to move to the 3rd one actually. The car seat is very roomy compared to others and has a very high back. Also fabric is removable for easy washing. I hope I didn't leave anything out.",baby products,car seats accessories,car seats,177
13106,B00000K1Y9,Folkmanis Monkey Hand Puppet,A2BUPLO84VMI04,0/0,5.0,1205107200,"I've used this puppet for years in a public library. Children love him, they're entranced with him. He is absolutely adorable. Everyone wants to touch or hug him. His face can make a fair number of expressions (with just the moving mouth) and with his arms and legs I can do quite a bit of action. He is my favorite storytime puppet.",toys games,stuffed animals plush,plush puppets,62
8449,B000FPIM9G,Telemergency Pro-Elite 700E with Wireless Help Pendant,A1UAZ6MNSZKB7G,72/76,2.0,1169942400,"I care for an elderly parent in home, and needed something to alert me in case they fell or needed assistance while in another part of the house. I had hoped this device would be the solution. My plan was to program it to call my cell phone if my parent ever pressed the pendant alert button.There were a number of problems from the start. First, the unit was difficult to program. It took several steps -- switching power on and off, speakers on and off, and so forth -- and it balked when I tried to enter the forwarding number. The touch tones just wouldn't register in the base unit. It took several attempts to get the number entered.Second there were two buttons on the pendant -- one for alert, one to cancel the alert. I would prefer only one button on an alert pendant, so the feeble or elderly won't be needlessly confused or accidentally press the wrong button and think help is coming when it isn't, or accidentally cancel a help call before it is made.Third the pendant range was very short. It wasn't comforting to think the person wearing it could easily get out of range and the alert button be useless. I found it only worked reliably when the pendant was in the same room as the base unit.Fourth is the ""off hook"" behavior of the system. It would be easier if the unit would simply pick up and play a few beeps and the alert message over the phone if someone happens to be using the extension. Instead, the unit tries to make the calls anyway. You get alerted, yes, with a bunch of attempted calls and touch tone sounds, but I think it could have been done better.I just didn't find it trustworthy enough to use. I sent it back, and opted instead for a low-tech (and much cheaper) simple pendant alarm that's activated by a pull on a string. The only downside to it -- which is true of the Telemergency 700C too -- is that it isn't waterproof and can't be worn or used in the shower. But that's what we're going with until someone comes up with a more reliable and trustworthy and well thought out product.Update",health personal care,medical supplies equipment,daily living aids,377
37806,B000FH1DRC,Pampers Swaddlers,A18A2W9WE275WR,0/0,5.0,1336003200,"I was nervous to order pampers swaddlers from amazon because some reviews had mentioned their diapers didn't have the wetness indicator on them. Ours did.I love the wetness indicator, though my daughter is now 4 months old and her diapers are obviously wet when she goes, I just like the confirmation, I don't have to stick my finger in her diap to check for wetness. I wish the indicators were included up to size 5!I like pampers better than all of the other brands we were given at my baby shower (up & up, huggies, kirkland) because the material is cloth-like instead of plastic-like and there is a mesh fabric over the actual pad which helps elevate her butt off of that watery/mushy newborn poop.She isn't a super chunky baby, with up & up she would always explode out of the back of the diaper, with kirkland and huggies (same company) she would always explode out of the legs of her diaper, but pampers keeps it all in.",baby products,diapering,disposable diapers,168
